iter	Passed	Remaining
0	157	157265
1	176	88290
2	209	69606
3	224	55884
4	241	48003
5	253	41935
6	263	37366
7	273	33945
8	283	31266
9	293	29074
10	303	27243
11	314	25886
12	323	24566
13	333	23475
14	341	22450
15	350	21553
16	359	20780
17	368	20104
18	376	19440
19	385	18879
20	396	18479
21	406	18055
22	417	17726
23	429	17462
24	443	17302
25	452	16965
26	461	16624
27	471	16378
28	484	16218
29	494	15998
30	504	15755
31	511	15467
32	519	15232
33	527	14996
34	536	14800
35	544	14572
36	552	14380
37	560	14177
38	569	14025
39	577	13855
40	587	13738
41	594	13552
42	601	13393
43	609	13238
44	619	13142
45	627	13023
46	636	12896
47	645	12798
48	652	12666
49	661	12568
50	671	12491
51	681	12428
52	692	12367
53	700	12266
54	708	12178
55	717	12091
56	725	12001
57	732	11902
58	742	11838
59	751	11774
60	760	11709
61	768	11631
62	778	11578
63	786	11496
64	794	11431
65	802	11357
66	810	11286
67	817	11207
68	825	11142
69	833	11069
70	841	11004
71	848	10931
72	855	10863
73	863	10809
74	873	10768
75	880	10707
76	889	10656
77	898	10619
78	909	10600
79	917	10547
80	926	10507
81	933	10452
82	942	10412
83	950	10360
84	958	10313
85	966	10275
86	974	10230
87	982	10178
88	991	10144
89	998	10100
90	1007	10060
91	1015	10018
92	1022	9975
93	1030	9928
94	1037	9887
95	1045	9840
96	1052	9795
97	1059	9747
98	1066	9705
99	1073	9663
100	1080	9621
101	1089	9590
102	1096	9546
103	1104	9512
104	1111	9477
105	1121	9461
106	1130	9434
107	1140	9418
108	1147	9381
109	1155	9351
110	1166	9338
111	1175	9316
112	1184	9294
113	1192	9265
114	1200	9240
115	1208	9208
116	1218	9197
117	1226	9168
118	1235	9149
119	1243	9117
120	1251	9091
121	1260	9074
122	1270	9055
123	1278	9029
124	1286	9002
125	1293	8971
126	1300	8941
127	1309	8921
128	1317	8895
129	1324	8863
130	1332	8837
131	1339	8808
132	1347	8783
133	1354	8754
134	1362	8731
135	1369	8701
136	1377	8676
137	1384	8646
138	1393	8632
139	1402	8616
140	1411	8597
141	1418	8569
142	1426	8548
143	1434	8524
144	1443	8512
145	1451	8491
146	1460	8477
147	1467	8448
148	1477	8435
149	1484	8411
150	1492	8389
151	1499	8366
152	1507	8344
153	1515	8323
154	1523	8306
155	1531	8284
156	1539	8267
157	1546	8243
158	1554	8221
159	1561	8200
160	1568	8175
161	1576	8153
162	1583	8130
163	1591	8111
164	1598	8091
165	1606	8073
166	1613	8050
167	1621	8031
168	1629	8012
169	1637	7992
170	1644	7971
171	1652	7953
172	1659	7934
173	1667	7917
174	1674	7893
175	1681	7870
176	1689	7853
177	1695	7830
178	1703	7812
179	1710	7791
180	1717	7773
181	1724	7752
182	1732	7736
183	1740	7718
184	1748	7701
185	1755	7681
186	1762	7662
187	1770	7645
188	1778	7631
189	1786	7617
190	1794	7599
191	1802	7584
192	1810	7568
193	1818	7556
194	1826	7538
195	1834	7525
196	1842	7508
197	1850	7494
198	1857	7477
199	1865	7463
200	1873	7445
201	1882	7435
202	1889	7418
203	1898	7406
204	1905	7388
205	1914	7380
206	1922	7366
207	1931	7355
208	1939	7339
209	1947	7326
210	1956	7315
211	1965	7307
212	1973	7292
213	1982	7280
214	1990	7265
215	1998	7254
216	2005	7237
217	2013	7224
218	2020	7207
219	2031	7202
220	2038	7185
221	2046	7172
222	2053	7154
223	2061	7141
224	2070	7131
225	2078	7116
226	2084	7099
227	2092	7085
228	2100	7070
229	2107	7056
230	2115	7043
231	2123	7028
232	2131	7015
233	2137	6996
234	2144	6982
235	2151	6964
236	2159	6952
237	2166	6936
238	2174	6922
239	2181	6906
240	2188	6892
241	2195	6875
242	2203	6864
243	2212	6853
244	2221	6844
245	2228	6829
246	2235	6815
247	2243	6803
248	2250	6787
249	2258	6775
250	2266	6761
251	2273	6749
252	2280	6733
253	2289	6724
254	2297	6711
255	2306	6704
256	2315	6694
257	2324	6683
258	2332	6673
259	2340	6661
260	2349	6651
261	2356	6638
262	2364	6624
263	2371	6611
264	2378	6598
265	2386	6586
266	2393	6571
267	2402	6561
268	2411	6553
269	2419	6540
270	2426	6526
271	2434	6515
272	2441	6501
273	2449	6489
274	2456	6476
275	2465	6468
276	2473	6455
277	2480	6442
278	2488	6430
279	2496	6420
280	2505	6410
281	2512	6398
282	2520	6386
283	2530	6378
284	2537	6366
285	2547	6359
286	2555	6348
287	2563	6337
288	2572	6328
289	2580	6317
290	2588	6306
291	2595	6294
292	2602	6279
293	2609	6267
294	2617	6254
295	2625	6243
296	2631	6229
297	2639	6217
298	2646	6204
299	2654	6193
300	2662	6182
301	2669	6171
302	2677	6159
303	2684	6145
304	2691	6133
305	2699	6121
306	2707	6112
307	2715	6100
308	2722	6089
309	2730	6076
310	2738	6066
311	2745	6055
312	2754	6045
313	2761	6033
314	2770	6024
315	2778	6013
316	2787	6005
317	2794	5992
318	2802	5982
319	2809	5971
320	2816	5958
321	2824	5947
322	2833	5939
323	2842	5929
324	2850	5919
325	2857	5907
326	2863	5893
327	2871	5883
328	2878	5869
329	2886	5860
330	2893	5848
331	2901	5837
332	2909	5827
333	2917	5818
334	2924	5806
335	2932	5795
336	2939	5783
337	2948	5774
338	2955	5762
339	2962	5751
340	2970	5740
341	2977	5728
342	2985	5718
343	2993	5707
344	3000	5697
345	3008	5686
346	3016	5677
347	3024	5667
348	3033	5659
349	3041	5648
350	3050	5639
351	3057	5629
352	3065	5619
353	3072	5607
354	3080	5597
355	3088	5587
356	3096	5576
357	3103	5565
358	3112	5556
359	3118	5544
360	3126	5535
361	3134	5524
362	3142	5514
363	3150	5504
364	3157	5493
365	3164	5481
366	3171	5470
367	3180	5461
368	3188	5452
369	3196	5442
370	3204	5432
371	3211	5422
372	3218	5410
373	3226	5401
374	3234	5390
375	3243	5382
376	3250	5371
377	3258	5362
378	3267	5353
379	3275	5344
380	3283	5334
381	3291	5324
382	3298	5313
383	3307	5305
384	3315	5295
385	3324	5287
386	3332	5278
387	3343	5273
388	3350	5261
389	3358	5252
390	3365	5242
391	3374	5234
392	3382	5223
393	3389	5213
394	3395	5201
395	3404	5192
396	3410	5180
397	3418	5171
398	3426	5161
399	3435	5153
400	3442	5142
401	3451	5134
402	3459	5124
403	3467	5116
404	3475	5105
405	3482	5095
406	3489	5084
407	3496	5073
408	3503	5063
409	3511	5052
410	3519	5043
411	3526	5033
412	3535	5024
413	3542	5014
414	3550	5005
415	3558	4994
416	3566	4985
417	3574	4976
418	3581	4966
419	3589	4956
420	3597	4947
421	3605	4938
422	3613	4929
423	3620	4918
424	3628	4908
425	3636	4899
426	3644	4890
427	3653	4882
428	3660	4872
429	3668	4862
430	3676	4853
431	3684	4844
432	3692	4835
433	3700	4825
434	3706	4814
435	3715	4805
436	3722	4795
437	3730	4786
438	3737	4775
439	3745	4766
440	3752	4756
441	3759	4746
442	3766	4735
443	3774	4726
444	3781	4716
445	3788	4706
446	3796	4697
447	3804	4688
448	3813	4679
449	3820	4669
450	3828	4660
451	3835	4650
452	3843	4641
453	3850	4631
454	3858	4622
455	3866	4612
456	3873	4602
457	3880	4592
458	3889	4583
459	3896	4574
460	3904	4564
461	3911	4555
462	3919	4545
463	3927	4536
464	3935	4527
465	3943	4518
466	3953	4512
467	3961	4502
